2025-10-26 15:27:26,654 | INFO | golden_backtest | #0004 🎯 BUY @ $3352.00 | P&L: $-72.04 | Balance: $9901.10 | Reason: SL Hit
2025-10-26 15:27:27,533 | INFO | golden_backtest | #0005 🎯 SELL @ $3314.10 | P&L: $-72.13 | Balance: $9828.97 | Reason: SL Hit
2025-10-26 15:27:29,013 | INFO | golden_backtest | #0001 🎯 BUY @ $3360.30 | P&L: $-61.37 | Balance: $9938.63 | Reason: SL Hit
2025-10-26 15:27:29,357 | INFO | golden_backtest | #0002 🎯 SELL @ $3315.90 | P&L: $99.16 | Balance: $10037.79 | Reason: TP Hit
2025-10-26 15:27:29,388 | INFO | golden_backtest | #0003 🎯 SELL @ $3300.70 | P&L: $-64.65 | Balance: $9973.14 | Reason: SL Hit
2025-10-26 15:27:30,016 | INFO | golden_backtest | #0004 🎯 BUY @ $3352.00 | P&L: $-72.04 | Balance: $9901.10 | Reason: SL Hit
2025-10-26 15:27:30,897 | INFO | golden_backtest | #0005 🎯 SELL @ $3314.10 | P&L: $-72.13 | Balance: $9828.97 | Reason: SL Hit
2025-10-26 15:27:32,342 | INFO | golden_backtest | #0001 🎯 BUY @ $3360.27 | P&L: $-60.79 | Balance: $9939.21 | Reason: SL Hit
2025-10-26 15:27:32,686 | INFO | golden_backtest | #0002 🎯 SELL @ $3315.95 | P&L: $99.29 | Balance: $10038.50 | Reason: TP Hit
2025-10-26 15:27:32,716 | INFO | golden_backtest | #0003 🎯 SELL @ $3300.63 | P&L: $-64.55 | Balance: $9973.95 | Reason: SL Hit
2025-10-26 15:27:33,339 | INFO | golden_backtest | #0004 🎯 BUY @ $3352.02 | P&L: $-71.93 | Balance: $9902.02 | Reason: SL Hit
2025-10-26 15:27:34,215 | INFO | golden_backtest | #0005 🎯 SELL @ $3314.00 | P&L: $-73.08 | Balance: $9828.94 | Reason: SL Hit
2025-10-26 15:27:35,642 | INFO | golden_backtest | #0001 🎯 BUY @ $3360.27 | P&L: $-60.79 | Balance: $9939.21 | Reason: SL Hit
2025-10-26 15:27:35,986 | INFO | golden_backtest | #0002 🎯 SELL @ $3315.95 | P&L: $99.29 | Balance: $10038.50 | Reason: TP Hit
2025-10-26 15:27:36,016 | INFO | golden_backtest | #0003 🎯 SELL @ $3300.63 | P&L: $-64.55 | Balance: $9973.95 | Reason: SL Hit
2025-10-26 15:27:36,635 | INFO | golden_backtest | #0004 🎯 BUY @ $3352.02 | P&L: $-71.93 | Balance: $9902.02 | Reason: SL Hit
2025-10-26 15:27:37,506 | INFO | golden_backtest | #0005 🎯 SELL @ $3314.00 | P&L: $-73.08 | Balance: $9828.94 | Reason: SL Hit
2025-10-26 15:27:38,943 | INFO | golden_backtest | #0001 🎯 BUY @ $3360.30 | P&L: $-61.37 | Balance: $9938.63 | Reason: SL Hit
2025-10-26 15:27:39,285 | INFO | golden_backtest | #0002 🎯 SELL @ $3315.90 | P&L: $99.16 | Balance: $10037.79 | Reason: TP Hit
2025-10-26 15:27:39,311 | INFO | golden_backtest | #0003 🎯 SELL @ $3297.70 | P&L: $-65.07 | Balance: $9972.72 | Reason: SL Hit
2025-10-26 15:27:39,933 | INFO | golden_backtest | #0004 🎯 BUY @ $3352.00 | P&L: $-72.04 | Balance: $9900.68 | Reason: SL Hit
2025-10-26 15:27:40,802 | INFO | golden_backtest | #0005 🎯 SELL @ $3314.10 | P&L: $-72.13 | Balance: $9828.55 | Reason: SL Hit
2025-10-26 15:27:42,215 | INFO | golden_backtest | #0001 🎯 BUY @ $3360.30 | P&L: $-61.37 | Balance: $9938.63 | Reason: SL Hit
2025-10-26 15:27:42,558 | INFO | golden_backtest | #0002 🎯 SELL @ $3315.90 | P&L: $99.16 | Balance: $10037.79 | Reason: TP Hit
2025-10-26 15:27:42,584 | INFO | golden_backtest | #0003 🎯 SELL @ $3297.70 | P&L: $-65.07 | Balance: $9972.72 | Reason: SL Hit
2025-10-26 15:27:43,205 | INFO | golden_backtest | #0004 🎯 BUY @ $3352.00 | P&L: $-72.04 | Balance: $9900.68 | Reason: SL Hit
2025-10-26 15:27:44,073 | INFO | golden_backtest | #0005 🎯 SELL @ $3314.10 | P&L: $-72.13 | Balance: $9828.55 | Reason: SL Hit
2025-10-26 15:27:45,533 | INFO | golden_backtest | #0001 🎯 BUY @ $3360.27 | P&L: $-60.79 | Balance: $9939.21 | Reason: SL Hit
2025-10-26 15:27:45,875 | INFO | golden_backtest | #0002 🎯 SELL @ $3315.95 | P&L: $99.29 | Balance: $10038.50 | Reason: TP Hit
2025-10-26 15:27:45,900 | INFO | golden_backtest | #0003 🎯 SELL @ $3297.63 | P&L: $-65.07 | Balance: $9973.43 | Reason: SL Hit
2025-10-26 15:27:46,521 | INFO | golden_backtest | #0004 🎯 BUY @ $3352.02 | P&L: $-71.93 | Balance: $9901.50 | Reason: SL Hit
2025-10-26 15:27:47,390 | INFO | golden_backtest | #0005 🎯 SELL @ $3314.00 | P&L: $-73.08 | Balance: $9828.42 | Reason: SL Hit
2025-10-26 15:27:48,802 | INFO | golden_backtest | #0001 🎯 BUY @ $3360.27 | P&L: $-60.79 | Balance: $9939.21 | Reason: SL Hit
2025-10-26 15:27:49,145 | INFO | golden_backtest | #0002 🎯 SELL @ $3315.95 | P&L: $99.29 | Balance: $10038.50 | Reason: TP Hit
2025-10-26 15:27:49,170 | INFO | golden_backtest | #0003 🎯 SELL @ $3297.63 | P&L: $-65.07 | Balance: $9973.43 | Reason: SL Hit
2025-10-26 15:27:49,841 | INFO | golden_backtest | #0004 🎯 BUY @ $3352.02 | P&L: $-71.93 | Balance: $9901.50 | Reason: SL Hit
2025-10-26 15:27:50,709 | INFO | golden_backtest | #0005 🎯 SELL @ $3314.00 | P&L: $-73.08 | Balance: $9828.42 | Reason: SL Hit
