2025-10-27 07:45:12,693 | INFO | golden_backtest | #0014 🎯 SELL @ $2623.54 | P&L: $-41.43 | Balance: $100348.57 | Reason: SL Hit
2025-10-27 07:45:12,712 | INFO | golden_backtest | #0015 🎯 SELL @ $2623.71 | P&L: $-53.23 | Balance: $100295.34 | Reason: SL Hit
2025-10-27 07:45:13,448 | INFO | golden_backtest | #0016 🎯 BUY @ $2704.37 | P&L: $85.97 | Balance: $100381.31 | Reason: TP Hit
2025-10-27 07:45:13,475 | INFO | golden_backtest | #0017 🎯 BUY @ $2723.20 | P&L: $75.92 | Balance: $100457.23 | Reason: TP Hit
2025-10-27 07:45:14,129 | INFO | golden_backtest | #0018 🎯 BUY @ $2794.24 | P&L: $122.98 | Balance: $100580.21 | Reason: TP Hit
2025-10-27 07:45:14,678 | INFO | golden_backtest | #0019 🎯 BUY @ $2945.78 | P&L: $-75.87 | Balance: $100504.34 | Reason: SL Hit
2025-10-27 07:45:15,056 | INFO | golden_backtest | #0020 🎯 BUY @ $2962.40 | P&L: $-54.49 | Balance: $100449.85 | Reason: SL Hit
2025-10-27 07:45:15,462 | INFO | golden_backtest | #0021 🎯 SELL @ $2912.84 | P&L: $93.83 | Balance: $100543.68 | Reason: TP Hit
2025-10-27 07:45:15,503 | INFO | golden_backtest | #0022 🎯 SELL @ $2895.23 | P&L: $126.59 | Balance: $100670.27 | Reason: TP Hit
2025-10-27 07:45:16,022 | INFO | golden_backtest | #0023 🎯 SELL @ $2889.05 | P&L: $-67.80 | Balance: $100602.47 | Reason: SL Hit
2025-10-27 07:45:16,520 | INFO | golden_backtest | #0024 🎯 BUY @ $3057.57 | P&L: $-60.58 | Balance: $100541.89 | Reason: SL Hit
2025-10-27 07:45:16,973 | INFO | golden_backtest | #0025 🎯 BUY @ $3081.30 | P&L: $89.71 | Balance: $100631.61 | Reason: TP Hit
2025-10-27 07:45:17,054 | INFO | golden_backtest | #0026 🎯 BUY @ $3145.21 | P&L: $-233.02 | Balance: $100398.58 | Reason: SL Hit
2025-10-27 07:45:17,416 | INFO | golden_backtest | #0027 🎯 SELL @ $3058.98 | P&L: $-367.06 | Balance: $100031.53 | Reason: SL Hit
2025-10-27 07:45:17,481 | INFO | golden_backtest | #0028 🎯 SELL @ $3003.09 | P&L: $-293.97 | Balance: $99737.56 | Reason: SL Hit
